DocType: Sales Invoice,Your reference,Votre Référence
DocType: Sales Invoice,Your Reference,Votre Référence
DocType: Sales Invoice,Your Contact,Votre Contact
DocType: Sales Invoice,Invoice,Facture
DocType: Sales Invoice,Credit Note,Note de crédit
DocType: Sales Invoice,Delivery Address,Adresse de Livraison
DocType: Sales Invoice,Customer ID,ID client
DocType: Sales Invoice,Total,Total
DocType: Sales Invoice,Total amount,Montant total
DocType: Sales Invoice,Debit from credit account,Débit du compte de crédit
DocType: Sales Invoice,Debit from projects credit account,Débit du compte de crédit des projets
DocType: Sales Invoice,Our bank account,Notre compte bancaire
DocType: Sales Invoice,Production ID,ID de production
DocType: Sales Invoice,Amount,Montant
DocType: Sales Invoice,Terms of payment,Conditions de paiement
DocType: Sales Invoice,Payable until,Payable jusqu'au
DocType: Sales Invoice,Your credit balance,Votre solde de crédit
DocType: Sales Invoice,Your projects credit balance,Votre solde de crédit pour les projets
DocType: Sales Invoice,30 days net,30 jours net
DocType: Sales Invoice,45 days net,45 jours net
DocType: Sales Invoice,60 days net,60 jours net
DocType: Sales Invoice,90 days net,90 jours net
DocType: Sales Invoice,"The exporter of the products covered by this document declares that, except where otherwise clearly indicated, these products are of preferential origin of Switzerland. Not restricted according to YATA regulation.","L'exportateur des marchandises auxquelles se rapporte le présent document commercial déclare que, sauf indication contraire, ces marchandises sont originaires de Suisse et bénéficient d'un régime préférentiel."
DocType: Sales Invoice,"Customs tarif number","Numéro de tarif douanier"
DocType: Sales Invoice,"Delivery conditions","Livraison"
DocType: Sales Invoice,"Tax-exempt intra-Community delivery","Livraison intracommunautaire exonérée TVA"
DocType: Sales Invoice,"Services pursuant to Art. 14 (1) Transfer of location principle (7) UST exempt, but subject to VAT (reverse charge).","Services conformément à l'art. 14 par. 1 principe du site d'immersion (7) exonérés d'impôt, mais la taxe d'acquisition (reverse charges)."
DocType: Sales Invoice,"Payment part","Section paiement"
DocType: Sales Invoice,"Account / Payable to","Compte / Payable à"
DocType: Sales Invoice,"Reference","Référence"
DocType: Sales Invoice,"Additional information","Informations supplémentaires"
DocType: Sales Invoice,"Further information","Informations additionnelles"
DocType: Sales Invoice,"Currency","Monnaie"
DocType: Sales Invoice,"Amount","Montant"
DocType: Sales Invoice,"Receipt","Récépissé"
DocType: Sales Invoice,"Acceptance point","Point de dépôt"
DocType: Sales Invoice,"Separate before paying in","A détacher avant le versement"
DocType: Sales Invoice,"Payable by","Payable par"
DocType: Sales Invoice,"Payable by (name/address)","Payable par (nom/adresse)"
DocType: Sales Invoice,"In favour of","En faveur de"
DocType: Sales Invoice,"Deliveries and services","Livraisons et services"
DocType: Payment Reminder,"Dear Sir or Madam","Madame, Monsieur,"
DocType: Payment Reminder,"Outstanding amount","Montant restant à payer"
DocType: Payment Reminder,"Reminder level","Niveau de rappel"
DocType: Payment Reminder,"Everyday business life can be hectic and invoices can be forgotten.","Nous savons tous que la vie de tous les jours peut nous absorber, et que parfois des oublis peuvent se produire."
DocType: Payment Reminder,"We would therefore like to remind you a second time that the following invoice(s) is(are) due for payment.","Aussi nous portons à votre aimable attention, ce second rappel de facture(s) restant impayée(s)."
DocType: Payment Reminder,"Should you have questions about the invoice(s), please feel free to contact us.","Si cette /ces facture(s) font l’objet de litiges, ou pour toute question relative à cette/ces factures, n’hésitez pas à prendre contact avec nous. Si vous n’êtes pas le bon interlocuteur, nous vous remercions de bien vouloir rediriger ce message aux personnes en charge, et/ou de nous indiquer les coordonnées du bon contact, par mail à : info@microsynth.ch"
DocType: Payment Reminder,"Otherwise, we would be grateful for an immediate payment within 10 days.","Si aucun blocage n’existe, nous vous serions reconnaissant de procéder à la mise en règlement sous un délai maximum de 10 jours."
DocType: Payment Reminder,"If the payment has already been authorized, please ignore this message.","Si le paiement est déjà en cours, je vous prie de ne pas tenir compte de ce message."
DocType: Payment Reminder,"The following invoice(s) has(have) already been due for payment.","Cette (ces) facture(s) restant toujours impayée(s)."
DocType: Payment Reminder,"We assume that the punctual payment has escaped your notice and would be grateful for a rapid settlement of the invoice(s).","Il est probable que votre attention n'ait pas été attirée par le fait de la (les) régler à temps. Nous vous serions très reconnaissants d'effectuer un virement rapide."
DocType: Payment Reminder,"As per our accounting department, this invoice(s) is (are) due for payment since a long time.","Notre comptabilité a vu que cette (ces) facture(s) est (sont) en retard depuis longtemps."
DocType: Payment Reminder,"Please check the invoice(s) and report any dissension immediately to Microsynth.","Merci de bien vérifier la (les) facture(s) et signaler immédiatement toute anomalie à Microsynth."
DocType: Payment Reminder,"Kind regards","Recevez, Cher client, l’assurance de nos salutations les plus cordiales."
DocType: Payment Reminder,"Microsynth Administration","Microsynth Administration"
DocType: Payment Reminder,"Payment Reminder","Rappel de paiement"
DocType: Payment Reminder,"First Reminder","Premier rappel"
DocType: Payment Reminder,"Second Reminder","Deuxième rappel"
DocType: Payment Reminder,"LAST REMINDER","Dernier rappel"
DocType: Payment Reminder,"Microsynth Payment Reminder","Rappel de paiement de Microsynth"
DocType: Payment Reminder,"Date","Date"
DocType: Payment Reminder,"Reference","Référence"
DocType: Payment Reminder,"Due date","Date d'échéance"
DocType: Payment Reminder,"Reminder Charge","Frais de rappel"
DocType: Payment Reminder,"List of all outstanding invoices","Liste de toutes les factures en attente"
DocType: Payment Reminder,"Invoice amount","Total de la facture"
DocType: Payment Reminder,"Page","Page"
DocType: Payment Reminder,"of","sur"
